[20-Feb-2020 17:06:42 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:06:43 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:06:43 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:06:49 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:06:49 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:24 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:07:24 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:26 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:07:26 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:07:26 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:07:26 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:27 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:07:27 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:30 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:07:30 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:31 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:07:31 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/functions.php on line 4552
[20-Feb-2020 17:07:32 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
[20-Feb-2020 17:07:32 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1665
[20-Feb-2020 17:07:57 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /export/home1/http/.users/a0/00/09/75/newenglandriders.org/www/wp/wp-includes/wp-db.php on line 1633
